FUNCTION_TO_MODEL,SEQUENCE_LENGTH,VOCAB_SIZE,NUM_BASE_TRAINING_SAMPLES,PERCENTAGE_SAMPLES_TO_ADD,ADDITIONAL_DATA_IS_ALTERNATIVE_DATA,NUM_SYNONYMS_PER_TOKEN,NUM_TEST_SAMPLES,HIDDEN_DIM,DROPOUT,EPOCHS,BATCH_SIZE,Training Accuracy,Test Accuracy
identity,5,5,1000,1,False,100,1000,150,0.5,50,32,0.43999999976158144,0.003
identity,5,10,1000,1,False,100,1000,150,0.5,50,32,0.5210000014305115,0.0
identity,5,5,1000,1,True,100,1000,150,0.5,50,32,0.4275833342075348,0.01
identity,5,10,1000,1,True,100,1000,150,0.5,50,32,0.4894999990463257,0.001
identity,5,10,1000,3,False,100,1000,150,0.5,50,32,0.4867499988079071,0.002
